Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
MNRR,Missouri National Recreation River,National Recreation River,SD,"1,886,564",Total
CUIS,Cumberland Island National Seashore,National Seashore,GA,"1,846,435",Total
FOSC,Fort Scott National Historic Site,National Historic Site,KS,"1,804,630",Total
FOLS,Fort Larned National Historic Site,National Historic Site,KS,"1,796,546",Total
ROWI,Roger Williams National Memorial,National Memorial,RI,"1,644,547",Total
JICA,Jimmy Carter National Historic Site,National Historic Site,GA,"1,615,203",Total
WRST,Wrangell-St. Elias National Park,National Park,AK,"1,607,332",Total
WRST,Wrangell-St. Elias National Preserve,National Preserve,AK,"1,607,332",Total
KATM,Katmai National Park,National Park,AK,"1,580,146",Total
KATM,Katmai National Preserve,National Preserve,AK,"1,580,146",Total
SAGA,Saint-Gaudens National Historic Site,National Historic Site,NH,"1,452,253",Total
JOMU,John Muir National Historic Site,National Historic Site,CA,"1,445,658",Total
NISI,Ninety Six National Historic Site,National Historic Site,SC,"1,412,920",Total
SAIR,Saugus Iron Works National Historic Site,National Historic Site,MA,"1,372,599",Total
RUCA,Russell Cave National Monument,National Monument,AL,"1,322,056",Total
KALA,Kalaupapa National Historical Park,National Historical Park,HI,"1,310,804",Total
BOWA,Booker T. Washington National Monument,National Monument,VA,"1,275,899",Total
MANZ,Manzanar National Historic Site,National Historic Site,CA,"1,275,195",Total
HOVE,Hovenweep National Monument,National Monument,UT,"1,178,947",Total
BLUE,Bluestone National Scenic River,National Scenic River,WV,"1,176,026",Total
DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,OH,"1,172,176",Total
ISRO,Isle Royale National Park,National Park,MI,"1,071,614",Total
LACH,Lake Chelan National Recreation Area,National Recreation Area,WA,"1,046,956",Total
CHSC,Little Rock Central High School National Historic Site,National Historic Site,AR,"1,000,434",Total
LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,MA,"978,343",Total
THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,NY,"933,526",Total
GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,MT,"878,576",Total
NIOB,Niobrara National Scenic River,National Scenic River,NE,"860,533",Total
JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,MA,"859,421",Total
WORI,Women's Rights National Historical Park,National Historical Park,NY,"850,934",Total
FRHI,Friendship Hill National Historic Site,National Historic Site,PA,"836,325",Total
FOUN,Fort Union National Monument,National Monument,NM,"836,310",Total
CHPI,Charles Pinckney National Historic Site,National Historic Site,SC,"812,305",Total
FOBU,Fossil Butte National Monument,National Monument,WY,"791,967",Total
MISS,Mississippi National River and Recreation Area,National River and Recreation Area,MN,"776,458",Total
FOUS,Fort Union Trading Post National Historic Site,National Historic Site,ND,"767,988",Total
THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,NY,"740,398",Total
HAGR,Hamilton Grange National Memorial,National Memorial,NY,"734,123",Total
KNRI,Knife River Indian Villages National Historic Site,National Historic Site,ND,"709,315",Total
SPAR,Springfield Armory National Historic Site,National Historic Site,MA,"708,837",Total
MONO,Monocacy National Battlefield,National Battlefield,MD,"676,477",Total
MIMI,Minuteman Missile National Historic Site,National Historic Site,SD,"671,529",Total
ULSG,Ulysses S. Grant National Historic Site,National Historic Site,MO,"658,952",Total
MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,VT,"642,588",Total
AGFO,Agate Fossil Beds National Monument,National Monument,NE,"621,551",Total
CLBA,Clara Barton National Historic Site,National Historic Site,MD,"607,242",Total
AFBG,African Burial Ground National Monument,National Monument,NY,"554,291",Total
MAVA,Martin Van Buren National Historic Site,National Historic Site,NY,"550,614",Total
RIRA,River Raisin National Battlefield Park,National Battlefield Park,MI,"511,111",Total
EDAL,Edgar Allan Poe National Historic Site,National Historic Site,PA,"488,638",Total
PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,TX,"467,349",Total
JAGA,James A. Garfield National Historic Site,National Historic Site,OH,"448,173",Total
WIHO,William Howard Taft National Historic Site,National Historic Site,OH,"436,655",Total
HAFO,Hagerman Fossil Beds National Monument,National Monument,ID,"433,428",Total
WEFA,Weir Farm National Historic Site,National Historic Site,CT,"427,394",Total
TAPR,Tallgrass Prairie National Preserve,National Preserve,KS,"388,767",Total
CARI,Cane River Creole National Historical Park,National Historical Park,LA,"367,437",Total
TUAI,Tuskegee Airmen National Historic Site,National Historic Site,AL,"365,883",Total
LACL,Lake Clark National Park,National Park,AK,"363,894",Total
LACL,Lake Clark National Preserve,National Preserve,AK,"363,894",Total
FOBO,Fort Bowie National Historic Site,National Historic Site,AZ,"348,811",Total
SAPA,Saint Paul's Church National Historic Site,National Historic Site,NY,"297,945",Total
NICO,Nicodemus National Historic Site,National Historic Site,KS,"296,433",Total
BRVB,Brown v. Board of Education National Historic Site,National Historic Site,KS,"270,456",Total
MAWA,Maggie L. Walker National Historic Site,National Historic Site,VA,"262,589",Total
GAAR,Gates of the Arctic National Park,National Park,AK,"225,813",Total
GAAR,Gates of the Arctic National Preserve,National Preserve,AK,"225,813",Total
NOAT,Noatak National Preserve,National Preserve,AK,"219,938",Total
MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,DC,"202,237",Total
THKO,Thaddeus Kosciuszko National Memorial,National Memorial,PA,"199,577",Total
RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,CA,"197,850",Total
CAKR,Cape Krusenstern National Monument,National Monument,AK,"195,519",Total
WABA,Washita Battlefield National Historic Site,National Historic Site,OK,"194,488",Total
FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,MA,"187,202",Total
PAGR,Paterson Great Falls National Historical Park,National Historical Park,NJ,"177,498",Total
KOVA,Kobuk Valley National Park,National Park,AK,"156,655",Total
ALFL,Alibates Flint Quarries National Monument,National Monument,TX,"136,070",Total
THST,Thomas Stone National Historic Site,National Historic Site,MD,"132,139",Total
YUCH,Yukon-Charley Rivers National Preserve,National Preserve,AK,"122,320",Total
FILA,First Ladies National Historic Site,National Historic Site,OH,"120,928",Total
